trade_id,stock_symbol,purchase_price,sale_price,quantity,purchase_date,sale_date,profit,profit_percentage,trade_type
1,CCK,478.39,390.01,3278,3/20/2017,9/17/2022,-88.38,-18.4744664395158761679800999,sell
2,AWP,529.92,78.51,4857,3/20/2022,1/18/2012,-451.41,-85.1845561594202898550724638,buy
3,BAC.WS.B,518.84,503.14,7325,6/29/2020,12/15/2012,-15.7,-3.0259810346156811348392568,sell
4,BBP,23.37,162.83,141,6/20/2010,8/8/2020,139.46,596.7479674796747967479674797,buy
5,NOM,533.5,361.17,9544,7/2/2014,4/4/2014,-172.33,-32.3017806935332708528584817,buy
6,JMPB,730.78,226.0,4139,7/28/2020,2/20/2017,-504.78,-69.0741399600426941076657818,sell
7,STI^E,537.99,14.08,8009,3/11/2010,11/27/2022,-523.91,-97.3828509823602669194594695,sell
8,CREG,761.34,123.78,9057,8/4/2013,1/11/2012,-637.56,-83.7418236267633383245330601,sell
9,UBOH,126.06,850.91,5148,11/3/2010,6/10/2016,724.85,575.0039663652229097255275266,buy
10,GLUU,197.34,871.3,5333,7/18/2015,3/24/2022,673.96,341.5222458700719570284787676,sell
11,CZWI,881.24,798.07,2240,1/15/2010,4/22/2017,-83.17,-9.4378375924833189596477691,buy
12,WMT,66.16,623.38,51,2/15/2012,7/9/2019,557.22,842.2309552599758162031438936,sell
13,HOG,532.49,347.92,4920,2/9/2011,12/22/2017,-184.57,-34.6616837874889669289564123,buy
14,HR,336.04,284.21,4108,3/18/2022,9/22/2020,-51.83,-15.4237590763004404237590763,sell
15,PRI,926.17,341.68,8842,11/6/2022,12/19/2017,-584.49,-63.1082846561646350022134165,buy
16,UTMD,869.12,759.74,6539,4/7/2020,6/9/2013,-109.38,-12.5851435935198821796759941,sell
17,CENTA,457.95,1.21,690,10/2/2012,12/5/2022,-456.74,-99.7357790151763292935910034,buy
18,HCLP,747.43,871.19,5822,2/8/2013,11/20/2016,123.76,16.5580723278434100852253723,buy
19,SP,750.87,865.77,3087,12/13/2019,2/12/2022,114.9,15.3022493907067801350433497,buy
20,XOXO,164.58,62.69,7663,8/12/2010,6/29/2021,-101.89,-61.9091019564953214242313768,buy
21,ITW,111.23,548.74,1957,11/24/2015,8/9/2016,437.51,393.3381282028229794120291288,buy
22,NPTN,827.55,526.13,8091,3/27/2018,3/30/2012,-301.42,-36.4231768473204036009908767,buy
23,BAS,224.73,751.17,8702,5/15/2010,9/6/2020,526.44,234.2544386597250033373381392,sell
24,AAN,196.94,789.39,6642,7/8/2013,6/13/2014,592.45,300.8276632476896516705595613,sell
25,LMHB,342.52,356.3,9622,5/2/2011,12/14/2010,13.78,4.0231227373584024290552377,buy
26,CSCO,81.21,890.08,4164,9/5/2011,5/25/2013,808.87,996.0226573082132742273119074,sell
27,BTT,250.94,14.79,9784,7/21/2017,8/29/2015,-236.15,-94.1061608352594245636407109,buy
28,SPLS,896.29,465.08,7567,12/22/2016,3/13/2012,-431.21,-48.1105445782057146682435372,buy
29,DFRG,843.14,832.34,6220,6/21/2015,6/10/2020,-10.8,-1.2809260621011931589059943,buy
30,RCL,279.98,544.22,9917,1/14/2020,4/15/2012,264.24,94.3781698692763768840631474,buy
31,PPX,137.33,520.0,4583,7/25/2017,8/4/2012,382.67,278.649967232214374135294546,sell
32,NVIV,700.84,703.13,9083,4/9/2019,3/5/2022,2.29,0.3267507562353746932252725,buy
33,GRP.U,767.71,266.57,5918,6/25/2017,9/4/2013,-501.14,-65.2772531294368967448645973,buy
34,AJG,967.72,989.5,4516,10/14/2018,3/7/2021,21.78,2.2506510147563344769148101,sell
35,PHII,7.07,66.93,3561,4/20/2010,8/6/2014,59.86,846.6760961810466760961810467,sell
36,TCBIW,229.44,941.94,4111,12/31/2014,10/29/2015,712.5,310.5387029288702928870292887,sell
37,HBHC,996.77,231.13,4213,9/28/2011,9/29/2017,-765.64,-76.8121030929903588591149413,buy
38,DDR^K,141.56,413.04,4029,3/20/2015,6/16/2018,271.48,191.777338231138739756993501,sell
39,AMSWA,889.85,527.47,4726,2/13/2010,4/6/2020,-362.38,-40.7237174804742372309939878,sell
40,SCKT,12.16,615.22,171,3/1/2016,8/22/2021,603.06,4959.375,buy
41,PFBX,94.05,493.83,6154,7/23/2019,11/12/2014,399.78,425.0717703349282296650717703,buy
42,ANCX,477.58,618.51,1238,7/12/2014,1/5/2012,140.93,29.5091921772268520457305582,sell
43,RS,4.76,247.09,5879,6/5/2013,2/25/2016,242.33,5090.9663865546218487394957983,buy
44,ETFC,610.81,205.41,5482,11/27/2021,12/16/2017,-405.4,-66.3708845631211014881878162,sell
45,BBH,887.56,403.61,9121,7/20/2022,1/22/2015,-483.95,-54.525891207354995718599306,buy
46,PEGA,280.67,919.86,641,12/19/2022,9/16/2022,639.19,227.7372002707806320590016746,sell
47,HBNC,106.21,772.03,859,7/12/2019,5/31/2022,665.82,626.8901233405517371245645419,buy
48,HSON,46.24,79.49,9700,9/16/2012,11/1/2015,33.25,71.9074394463667820069204152,sell
49,FBK,754.14,738.79,3498,12/22/2018,7/20/2021,-15.35,-2.0354310870660620044023656,buy
50,TCI,162.76,722.86,2868,11/3/2020,4/14/2018,560.1,344.1263209633816662570656181,buy
51,HBIO,818.24,211.78,9617,3/4/2012,6/24/2017,-606.46,-74.1176183026984747751271021,sell
52,RM,632.47,221.94,5767,6/15/2020,12/24/2022,-410.53,-64.9090075418596929498632346,buy
53,CVNA,986.31,349.96,3717,10/3/2010,12/8/2010,-636.35,-64.5182549097139844470805325,buy
54,PPH,7.46,881.74,7243,10/26/2012,2/21/2013,874.28,11719.5710455764075067024128686,sell
55,CYCCP,648.66,523.19,1806,1/8/2010,7/14/2012,-125.47,-19.3429531649862794067770481,sell
56,IMMU,808.12,119.1,1591,8/7/2017,1/7/2016,-689.02,-85.262089788645250705340791,buy
57,USB^A,129.73,990.89,310,10/13/2017,5/23/2012,861.16,663.8094503969783396284591074,sell
58,ATRA,557.41,774.75,1675,11/23/2014,5/15/2018,217.34,38.9910478821693188137995371,buy
59,AG,754.89,11.71,1252,7/8/2012,2/10/2019,-743.18,-98.4487806170435427678204772,sell
60,SPG^J,523.38,513.69,7941,10/2/2019,3/2/2017,-9.69,-1.8514272612633268370973289,buy
61,FLAT,745.02,435.03,8033,10/21/2015,7/7/2017,-309.99,-41.6082789723765804944833696,sell
62,NYCB^U,373.65,475.78,1516,3/22/2014,8/3/2013,102.13,27.3330657031981801150809581,buy
63,DLHC,298.52,716.96,9599,6/28/2014,5/31/2021,418.44,140.1715127964625485729599357,sell
64,HBMD,266.5,571.32,3796,8/23/2021,9/29/2012,304.82,114.3789868667917448405253283,sell
65,VLRX,290.14,329.14,2763,6/25/2016,6/4/2020,39.0,13.4417867236506514096643,buy
